home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Chelsea,Arsenal,0,1,0,0,4-3-3,4-3-3,",Edouard Mendy,Cesar Azpilicueta,Trevoh Chalobah,Thiago Silva,Marc Cucurella,Ruben Loftus-Cheek,Jorginho,Mason Mount,Kai Havertz,Pierre-Emerick Aubameyang,Raheem Sterling",",Gabriel Martinelli,Gabriel Jesus,Bukayo Saka,Granit Xhaka,Thomas Partey,Martin Odegaard,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Marcus Bettinelli,Kalidou Koulibaly,Mateo Kovacic,Denis Zakaria,Hakim Ziyech,Conor Gallagher,Lewis Hall,Christian Pulisic,Armando Broja","Matt Turner,Kieran Tierney,Rob Holding,Cedric Soares,Fabio Vieira,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah,Reiss Nelson",Graham Potter,Mikel Arteta,Referee: Michael Oliver (England),Nov 6,Venue: Stamford Bridge,1,2,1,9,20,13,4,6,16,13,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Aston Villa,Manchester United,3,1,2,1,4-2-3-1,4-2-3-1,",Emiliano Martinez,Matty Cash,Ezri Konsa,Tyrone Mings,Lucas Digne,Leander Dendoncker,Douglas Luiz,Jacob Ramsey,Emiliano Buendia,Leon Bailey,Ollie Watkins",",Cristiano Ronaldo,Alejandro Garnacho,Donny Van De Beek,Marcus Rashford,Christian Eriksen,Casemiro,Luke Shaw,Lisandro Martinez,Victor Lindelof,Diogo Dalot,David De Gea","Robin Olsen,Calum Chambers,Ludwig Augustinsson,Ashley Young,Jan Bednarek,John McGinn,Morgan Sanson,Boubacar Kamara,Danny Ings","Martin Dubravka,Harry Maguire,Tyrell Malacia,Fred,Facundo Pellistri,Scott McTominay,Shola Shoretire,Anthony Martial,Anthony Elanga",Unai Emery,Erik ten Hag,Referee: Anthony Taylor (England),Nov 6,Venue: Villa Park,4,3,2,1,6,12,3,5,14,21,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Southampton,Newcastle United,1,4,0,1,4-2-3-1,4-3-3,",Gavin Bazunu,Romain Perraud,Armel Bella-Kotchap,Mohammed Salisu,Juan Larios Lopez,James Ward-Prowse,Ainsley Maitland-Niles,Theo Walcott,Stuart Armstrong,Mohamed Elyounoussi,Che Adams",",Jacob Murphy,Callum Wilson,Miguel Almiron,Joseph Willock,Bruno Guimaraes,Sean Longstaff,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Alex McCarthy,Lyanco,Duje Caleta-Car,Joe Aribo,Ibrahima Diallo,Romeo Lavia,Adam Armstrong,Sekou Mara,Samuel Edozie","Karl Darlow,Jamaal Lascelles,Matt Targett,Javi Manquillo,Jonjo Shelvey,Elliot Anderson,Allan Saint-Maximin,Chris Wood,Ryan Fraser",Ralph Hasenhuttl,Eddie Howe,Referee: Stuart Attwell (England),Nov 6,Venue: St. Mary's Stadium,5,4,6,2,7,10,8,2,17,17,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
West Ham United,Crystal Palace,1,2,1,1,4-2-3-1,4-3-3,",Lukasz Fabianski,Thilo Kehrer,Craig Dawson,Kurt Zouma,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Lucas Paqueta,Said Benrahma,Gianluca Scamacca",",Eberechi Eze,Wilfried Zaha,Jordan Ayew,Jeffrey Schlupp,Cheick Oumar Doucoure,Michael Olise,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Nathaniel Clyne,Vicente Guaita","Alphonse Areola,Vladimir Coufal,Angelo Ogbonna,Nayef Aguerd,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Michail Antonio","Sam Johnstone,Joe Whitworth,Joel Ward,James Tomkins,Luka Milivojevic,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta,Malcolm Ebiowei",David Moyes,Patrick Vieira,Referee: Paul Tierney (England),Nov 6,Venue: London Stadium,2,6,3,2,10,7,2,5,11,18,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Tottenham Hotspur,Liverpool,1,2,0,2,5-3-2,4-3-1-2,",Hugo Lloris,Emerson,Eric Dier,Clement Lenglet,Ben Davies,Ryan Sessegnon,Rodrigo Bentancur,Yves Bissouma,Pierre Hojbjerg,Harry Kane,Ivan Perisic",",Darwin Nunez,Mohamed Salah,Roberto Firmino,Thiago,Fabinho,Harvey Elliott,Andy Robertson,Virgil Van Dijk,Ibrahima Konate,Trent Alexander-Arnold,Alisson","Fraser Forster,Matt Doherty,Davinson Sanchez,Japhet Tanganga,Oliver Skipp,Bryan Gil,Dejan Kulusevski,Lucas Moura,Pape Matar Sarr","Caoimhin Kelleher,Joe Gomez,Kostas Tsimikas,Calvin William Ramsay,Stefan Bajcetic,Jordan Henderson,Alex Oxlade-Chamberlain,Curtis Jones,Fabio Carvalho",Antonio Conte,Jurgen Klopp,Referee: Andrew Madley (England),Nov 6,Venue: Tottenham Hotspur Stadium,5,6,6,3,10,8,5,3,20,14,A,lost at ht and ft,won at ht and won at ft,won either half,won either half
Manchester City,Brentford,1,2,1,1,4-3-3,3-5-2,",Ederson,John Stones,Manuel Akanji,Aymeric Laporte,Joao Cancelo,Kevin De Bruyne,Rodri,Ilkay Gundogan,Bernardo Silva,Erling Haaland,Phil Foden",",Ivan Toney,Bryan Mbeumo,Rico Henry,Mathias Jensen,Vitaly Janelt,Frank Onyeka,Mads Roerslev Rasmussen,Ethan Pinnock,Ben Mee,Zanka,David Raya","Stefan Ortega,Ruben Dias,Rico Lewis,Kalvin Phillips,Sergio Gomez,Cole Palmer,Jack Grealish,Julian Alvarez,Riyad Mahrez","Matthew Cox,Christian Norgaard,Josh Dasilva,Yoane Wissa,Tristan Crama,Yehor Yarmoliuk,Sergi Canos,Saman Ghoddos,Keane Lewis-Potter",Josep Guardiola,Thomas Frank,Referee: Peter Bankes (England),Nov 12,Venue: Etihad Stadium,6,8,9,1,9,7,10,2,17,7,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
AFC Bournemouth,Everton,3,0,2,0,4-4-2,4-3-3,",Mark Travers,Adam Smith,Jack Stephens,Marcos Senesi,Jordan Zemura,Marcus Tavernier,Lewis Cook,Jefferson Lerma,Philip Billing,Dominic Solanke,Kieffer Moore",",Demarai Gray,Neal Maupay,Dwight McNeil,Amadou Mvom Onana,Idrissa Gueye,Alex Iwobi,Vitaliy Mykolenko,James Tarkowski,Conor Coady,Nathan Patterson,Jordan Pickford","Cameron Plain,Ryan Fredericks,Jack Stacey,Joe Rothwell,Junior Stanislas,Siriki Dembele,Ben Pearson,Ryan Christie,Jaidon Anthony","Asmir Begovic,Michael Keane,Yerry Mina,Seamus Coleman,Anthony Gordon,Abdoulaye Doucoure,Tom Davies,Stanley Mills,Thomas Cannon",Gary O'Neil,Frank Lampard,Referee: Craig Pawson (England),Nov 12,Venue: Vitality Stadium,9,3,4,6,12,8,3,5,14,15,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Liverpool,Southampton,3,1,3,1,4-3-1-2,4-2-3-1,",Alisson,Trent Alexander-Arnold,Joe Gomez,Virgil Van Dijk,Andy Robertson,Harvey Elliott,Fabinho,Thiago,Roberto Firmino,Mohamed Salah,Darwin Nunez",",Adam Armstrong,Stuart Armstrong,Che Adams,Mohamed Elyounoussi,Romeo Lavia,James Ward-Prowse,Romain Perraud,Mohammed Salisu,Duje Caleta-Car,Armel Bella-Kotchap,Gavin Bazunu","Adrian,Caoimhin Kelleher,Kostas Tsimikas,Stefan Bajcetic,Nathaniel Phillips,James Milner,Alex Oxlade-Chamberlain,Fabio Carvalho,Ben Doak","Alex McCarthy,Lyanco,Ainsley Maitland-Niles,Joe Aribo,Moussa Djenepo,Ibrahima Diallo,Theo Walcott,Sekou Mara,Samuel Edozie",Pepijn Lijnders,Nathan Jones,Referee: Simon Hooper (England),Nov 12,Venue: Anfield,7,5,6,4,8,8,6,0,19,15,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Nottingham Forest,Crystal Palace,1,0,0,0,4-3-3,4-3-3,",Dean Henderson,Serge Aurier,Joe Worrall,Willy Boly,Renan Lodi,Ryan Yates,Remo Freuler,Cheikhou Kouyate,Brennan Johnson,Morgan Gibbs-White,Jesse Lingard",",Eberechi Eze,Wilfried Zaha,Jordan Ayew,Jeffrey Schlupp,Cheick Oumar Doucoure,Michael Olise,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Nathaniel Clyne,Vicente Guaita","Wayne Hennessey,Steve Cook,Neco Williams,Scott McKenna,Jack Colback,Lewis O'Brien,Taiwo Awoniyi,Sam Surridge,Dale Taylor","Sam Johnstone,Joel Ward,James Tomkins,Luka Milivojevic,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta,Odsonne Edouard,Malcolm Ebiowei",Steve Cooper,Patrick Vieira,Referee: John Brooks (England),Nov 12,"Venue: City Ground, Nottingham",2,0,6,6,11,13,1,5,21,20,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Tottenham Hotspur,Leeds United,4,3,1,2,3-4-2-1,4-2-3-1,",Hugo Lloris,Eric Dier,Clement Lenglet,Ben Davies,Emerson,Pierre Hojbjerg,Rodrigo Bentancur,Ivan Perisic,Dejan Kulusevski,Richarlison,Harry Kane",",Rodrigo,Crysencio Summerville,Brenden Aaronson,Wilfried Gnonto,Marc Roca,Tyler Adams,Pascal Struijk,Liam Cooper,Robin Koch,Rasmus Kristensen,Illan Meslier","Fraser Forster,Matt Doherty,Davinson Sanchez,Djed Spence,Japhet Tanganga,Oliver Skipp,Bryan Gil,Lucas Moura,Yves Bissouma","Joel Robles,Luke Ayling,Junior Firpo,Diego Llorente,Sonny Tufail Perkins,Darko Gyabi,Joe Gelhardt,Sam Greenwood,Mateo Joseph Fernandez",Antonio Conte,Jesse Marsch,Referee: Michael Salisbury (England),Nov 12,Venue: Tottenham Hotspur Stadium,8,5,3,2,8,7,9,2,27,17,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
West Ham United,Leicester City,0,2,0,1,4-2-3-1,4-1-4-1,",Lukasz Fabianski,Thilo Kehrer,Craig Dawson,Kurt Zouma,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Lucas Paqueta,Said Benrahma,Gianluca Scamacca",",Patson Daka,Harvey Barnes,Kiernan Dewsbury-Hall,Youri Tielemans,James Maddison,Boubakary Soumare,Luke Thomas,Wout Faes,Daniel Amartey,Timothy Castagne,Danny Ward","Alphonse Areola,Ben Johnson,Vladimir Coufal,Angelo Ogbonna,Nayef Aguerd,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes","Daniel Iversen,Jonny Evans,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Dennis Praet,Jamie Vardy,Kelechi Iheanacho,Ayoze Perez",David Moyes,Brendan Rodgers,Referee: Jarred Gillett (Australia),Nov 12,Venue: London Stadium,6,6,10,2,9,8,7,2,28,26,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Newcastle United,Chelsea,1,0,0,0,4-3-3,3-4-2-1,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Sean Longstaff,Bruno Guimaraes,Joseph Willock,Miguel Almiron,Chris Wood,Joelinton",",Armando Broja,Mason Mount,Conor Gallagher,Lewis Hall,Mateo Kovacic,Jorginho,Ruben Loftus-Cheek,Kalidou Koulibaly,Trevoh Chalobah,Cesar Azpilicueta,Edouard Mendy","Karl Darlow,Jamaal Lascelles,Matt Targett,Javi Manquillo,Jonjo Shelvey,Jacob Murphy,Elliot Anderson,Callum Wilson,Allan Saint-Maximin","Marcus Bettinelli,Thiago Silva,Marc Cucurella,Denis Zakaria,Omari Hutchinson,Pierre-Emerick Aubameyang,Christian Pulisic,Hakim Ziyech,Kai Havertz",Eddie Howe,Graham Potter,Referee: Robert Jones (England),Nov 12,Venue: St James' Park,3,2,3,2,14,11,5,3,22,21,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Wolverhampton Wanderers,Arsenal,0,2,0,0,5-3-2,4-3-3,",Jose Sa,Nelson Semedo,Max Kilman,Nathan Collins,Toti Gomes,Hugo Bueno,Boubacar Traore,Ruben Neves,Joao Moutinho,Adama Traore,Goncalo Guedes",",Gabriel Martinelli,Gabriel Jesus,Bukayo Saka,Granit Xhaka,Thomas Partey,Martin Odegaard,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Matija Sarkic,Rayan Ait-Nouri,Yerson Mosquera,Dexter Lembikisa,Connor Ronan,Matheus Nunes,Joe Hodge,Daniel Podence,Chem Campbell","Matt Turner,Kieran Tierney,Rob Holding,Cedric Soares,Fabio Vieira,Mohamed Elneny,Eddie Nketiah,Reiss Nelson,Marquinhos",Steve Davis,Mikel Arteta,Referee: Stuart Attwell (England),Nov 12,Venue: Molineux Stadium,2,4,6,6,5,6,6,4,18,13,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Brighton & Hove Albion,Aston Villa,1,2,1,1,4-2-3-1,4-4-2,",Robert Sanchez,Pascal Gross,Levi Colwill,Lewis Dunk,Pervis Estupinan,Alexis MacAllister,Moisés Caicedo,Solly March,Adam Lallana,Leandro Trossard,Danny Welbeck",",Danny Ings,Emiliano Buendia,Jacob Ramsey,Douglas Luiz,Boubacar Kamara,John McGinn,Lucas Digne,Tyrone Mings,Ezri Konsa,Matty Cash,Emiliano Martinez","Jason Steele,Tariq Lamptey,Jan Paul Van Hecke,Joel Veltman,Ed Turns,Billy Gilmour,Julio Cesar Enciso,Deniz Undav,Evan Ferguson","Robin Olsen,Calum Chambers,Ludwig Augustinsson,Ashley Young,Jan Bednarek,Morgan Sanson,Leon Bailey,Leander Dendoncker,Cameron Archer",Roberto De Zerbi,Unai Emery,Referee: Chris Kavanagh (England),Nov 13,Venue: The American Express Community Stadium,2,2,1,3,14,11,11,4,24,22,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Fulham,Manchester United,1,2,0,1,4-2-3-1,4-2-3-1,",Bernd Leno,Bobby Reid,Issa Diop,Tim Ream,Antonee Robinson,Tom Cairney,Joao Palhinha,Harry Wilson,Andreas Pereira,Willian,Carlos Vinicius",",Anthony Martial,Marcus Rashford,Bruno Fernandes,Anthony Elanga,Christian Eriksen,Casemiro,Luke Shaw,Lisandro Martinez,Victor Lindelof,Tyrell Malacia,David De Gea","Marek Rodak,Tosin Adarabioyo,Shane Duffy,Kevin Mbabu,Nathaniel Chalobah,Daniel James,Josh Onomah,Luke Bernard Harris,Kristian Sekularac","Nathan Bishop,Martin Dubravka,Harry Maguire,Fred,Donny Van De Beek,Scott McTominay,Zidane Iqbal,Alejandro Garnacho,",Marco Silva,Erik ten Hag,Referee: Paul Tierney (England),Nov 13,Venue: Craven Cottage,7,9,5,3,9,10,10,3,21,16,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Brentford,Tottenham Hotspur,2,2,1,0,3-5-2,3-4-2-1,",David Raya,Zanka,Ethan Pinnock,Ben Mee,Mads Roerslev Rasmussen,Mathias Jensen,Christian Norgaard,Vitaly Janelt,Rico Henry,Ivan Toney,Bryan Mbeumo",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ivan Perisic,Pierre Hojbjerg,Yves Bissouma,Matt Doherty,Clement Lenglet,Eric Dier,Japhet Tanganga,Fraser Forster","Matthew Cox,Charlie Goode,Pontus Jansson,Josh Dasilva,Yoane Wissa,Sergi Canos,Saman Ghoddos,Keane Lewis-Potter,Mikkel Damsgaard","Hugo Lloris,Davinson Sanchez,Emerson,Ben Davies,Oliver Skipp,Bryan Gil,Ryan Sessegnon,Pape Matar Sarr,Harvey White",Thomas Frank,Antonio Conte,Referee: David Coote (England),Dec 26,Venue: Gtech Community Stadium,5,8,3,3,11,10,6,5,16,24,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Crystal Palace,Fulham,0,3,0,1,4-3-3,4-2-3-1,",Vicente Guaita,Nathaniel Clyne,Joachim Andersen,James Tomkins,Tyrick Mitchell,Michael Olise,Cheick Oumar Doucoure,Jeffrey Schlupp,Jordan Ayew,Wilfried Zaha,Eberechi Eze",",Aleksandar Mitrovic,Willian,Andreas Pereira,Bobby Reid,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Issa Diop,Kenny Tete,Bernd Leno","Jack Butland,Joel Ward,Chris Richards,Luka Milivojevic,Will Hughes,Jairo Riedewald,Odsonne Edouard,Malcolm Ebiowei,John-Kymani Gordon","Marek Rodak,Tosin Adarabioyo,Shane Duffy,Tom Cairney,Nathaniel Chalobah,Luke Bernard Harris,Harry Wilson,Carlos Vinicius,Daniel James",Patrick Vieira,Marco Silva,Referee: Andrew Madley (England),Dec 26,Venue: Selhurst Park,0,11,3,6,12,15,1,7,13,19,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Everton,Wolverhampton Wanderers,1,2,1,1,4-3-3,4-3-3,",Jordan Pickford,Nathan Patterson,Yerry Mina,James Tarkowski,Vitaliy Mykolenko,Alex Iwobi,Idrissa Gueye,Amadou Mvom Onana,Anthony Gordon,Neal Maupay,Dwight McNeil",",Daniel Podence,Diego Costa,Hwang Hee-chan,Joao Moutinho,Ruben Neves,Joe Hodge,Hugo Bueno,Max Kilman,Nathan Collins,Nelson Semedo,Jose Sa","Asmir Begovic,Mason Holgate,Ben Godfrey,Seamus Coleman,Ruben Vinagre,Abdoulaye Doucoure,Tom Davies,Demarai Gray,Thomas Cannon","Matija Sarkic,Rayan Ait-Nouri,Toti Gomes,Dexter Lembikisa,Goncalo Guedes,Connor Ronan,Matheus Nunes,Raul Jimenez,Adama Traore",Frank Lampard,Julen Lopetegui,Referee: Craig Pawson (England),Dec 26,Venue: Goodison Park,5,4,5,1,9,22,2,2,18,28,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Leicester City,Newcastle United,0,3,0,3,4-2-3-1,4-3-3,",Danny Ward,Timothy Castagne,Daniel Amartey,Wout Faes,Luke Thomas,Youri Tielemans,Boubakary Soumare,Dennis Praet,Kiernan Dewsbury-Hall,Harvey Barnes,Patson Daka",",Joelinton,Chris Wood,Miguel Almiron,Joseph Willock,Bruno Guimaraes,Sean Longstaff,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Daniel Iversen,Caglar Soyuncu,Jannik Vestergaard,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Kelechi Iheanacho,Ayoze Perez","Karl Darlow,Jamaal Lascelles,Matt Targett,Javi Manquillo,Matt Ritchie,Jacob Murphy,Elliot Anderson,Allan Saint-Maximin,Ryan Fraser",Brendan Rodgers,Eddie Howe,Referee: Jarred Gillett (Australia),Dec 26,Venue: King Power Stadium,2,5,2,3,9,6,5,5,23,22,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Southampton,Brighton & Hove Albion,1,3,0,2,4-2-3-1,4-2-3-1,",Gavin Bazunu,Kyle Walker-Peters,Lyanco,Mohammed Salisu,Romain Perraud,Ibrahima Diallo,James Ward-Prowse,Mohamed Elyounoussi,Samuel Edozie,Moussa Djenepo,Che Adams",",Leandro Trossard,Kaoru Mitoma,Adam Lallana,Solly March,Moisés Caicedo,Pascal Gross,Pervis Estupinan,Levi Colwill,Lewis Dunk,Joel Veltman,Robert Sanchez","Willy Caballero,Duje Caleta-Car,Armel Bella-Kotchap,Ainsley Maitland-Niles,Joe Aribo,Stuart Armstrong,Adam Armstrong,Sekou Mara,Jimmy Morgan","Jason Steele,Tariq Lamptey,Jan Paul Van Hecke,Jeremy Sarmiento,Billy Gilmour,Andrew Moran,Julio Cesar Enciso,Deniz Undav,Evan Ferguson",Nathan Jones,Roberto De Zerbi,Referee: Robert Jones (England),Dec 26,Venue: St. Mary's Stadium,4,4,7,2,9,10,4,2,22,21,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Aston Villa,Liverpool,1,3,0,2,4-4-2,4-3-3,",Robin Olsen,Ashley Young,Ezri Konsa,Tyrone Mings,Lucas Digne,John McGinn,Boubacar Kamara,Douglas Luiz,Leon Bailey,Emiliano Buendia,Ollie Watkins",",Alex Oxlade-Chamberlain,Darwin Nunez,Mohamed Salah,Thiago,Fabinho,Jordan Henderson,Andy Robertson,Virgil Van Dijk,Joel Matip,Trent Alexander-Arnold,Alisson","Filip Marschall,Matty Cash,Calum Chambers,Jan Bednarek,Philippe Coutinho,Leander Dendoncker,Kadan Young,Danny Ings,Cameron Archer","Caoimhin Kelleher,Joe Gomez,Kostas Tsimikas,Stefan Bajcetic,Nathaniel Phillips,Naby Keita,Harvey Elliott,Fabio Carvalho,Ben Doak",Unai Emery,Jurgen Klopp,Referee: Paul Tierney (England),Dec 26,Venue: Villa Park,6,9,3,6,7,12,0,6,13,15,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Arsenal,West Ham United,3,1,0,1,4-3-3,4-2-3-1,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Kieran Tierney,Martin Odegaard,Granit Xhaka,Thomas Partey,Bukayo Saka,Eddie Nketiah,Gabriel Martinelli",",Michail Antonio,Said Benrahma,Lucas Paqueta,Jarrod Bowen,Declan Rice,Tomas Soucek,Aaron Cresswell,Thilo Kehrer,Craig Dawson,Vladimir Coufal,Lukasz Fabianski","Matt Turner,Rob Holding,Cedric Soares,Oleksandr Zinchenko,Fabio Vieira,Albert Sambi Lokonga,Mohamed Elneny,Amario Cozier-Duberry,Marquinhos","Alphonse Areola,Ben Johnson,Angelo Ogbonna,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Conor Coventry,Divin Mubama",Mikel Arteta,David Moyes,Referee: Michael Oliver (England),Dec 26,Venue: Emirates Stadium,5,4,6,4,14,16,7,5,9,15,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
Chelsea,AFC Bournemouth,2,0,2,0,4-3-3,4-4-2,",Kepa Arrizabalaga,Reece James,Kalidou Koulibaly,Thiago Silva,Marc Cucurella,Denis Zakaria,Jorginho,Mason Mount,Raheem Sterling,Kai Havertz,Christian Pulisic",",Kieffer Moore,Dominic Solanke,Philip Billing,Jefferson Lerma,Lewis Cook,Jack Stacey,Jordan Zemura,Lloyd Kelly,Marcos Senesi,Adam Smith,Mark Travers","Marcus Bettinelli,Trevoh Chalobah,Cesar Azpilicueta,Bashir Humphreys,Conor Gallagher,Carney Chukwuemeka,Omari Hutchinson,Lewis Hall,Pierre-Emerick Aubameyang","Cameron Plain,Jack Stephens,Emiliano Marcondes,Joe Rothwell,Siriki Dembele,Ben Pearson,Ryan Christie,Jamal Lowe,Jaidon Anthony",Graham Potter,Gary O'Neil,Referee: Simon Hooper (England),Dec 27,Venue: Stamford Bridge,5,4,6,4,8,10,6,8,11,13,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Manchester United,Nottingham Forest,3,0,2,0,4-2-3-1,4-3-3,",David De Gea,Aaron Wan-Bissaka,Raphael Varane,Luke Shaw,Tyrell Malacia,Casemiro,Christian Eriksen,Antony,Bruno Fernandes,Marcus Rashford,Anthony Martial",",Jesse Lingard,Taiwo Awoniyi,Brennan Johnson,Orel Mangala,Remo Freuler,Ryan Yates,Renan Lodi,Willy Boly,Joe Worrall,Serge Aurier,Wayne Hennessey","Tom Heaton,Harry Maguire,Brandon Williams,Rhys Bennett,Fred,Donny Van De Beek,Zidane Iqbal,Anthony Elanga,Alejandro Garnacho","Jordan Smith,Steve Cook,Neco Williams,Harry Toffolo,Scott McKenna,Jack Colback,Lewis O'Brien,Sam Surridge,Emmanuel Dennis",Erik ten Hag,Steve Cooper,Referee: Anthony Taylor (England),Dec 27,Venue: Old Trafford,8,3,3,3,13,4,9,9,15,23,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leeds United,Manchester City,1,3,0,1,4-3-3,4-3-3,",Illan Meslier,Rasmus Kristensen,Robin Koch,Liam Cooper,Pascal Struijk,Sam Greenwood,Marc Roca,Adam Forshaw,Brenden Aaronson,Rodrigo,Wilfried Gnonto",",Jack Grealish,Erling Haaland,Riyad Mahrez,Ilkay Gundogan,Rodri,Kevin De Bruyne,Nathan Ake,Manuel Akanji,John Stones,Rico Lewis,Ederson","Joel Robles,Luke Ayling,Junior Firpo,Diego Llorente,Crysencio Summerville,Jack Harrison,Darko Gyabi,Mateusz Klich,Joe Gelhardt","Stefan Ortega,Kyle Walker,Joao Cancelo,Aymeric Laporte,Kalvin Phillips,Bernardo Silva,Sergio Gomez,Phil Foden,Cole Palmer",Jesse Marsch,Josep Guardiola,Referee: Stuart Attwell (England),Dec 28,Venue: Elland Road,1,9,4,12,11,14,3,5,17,20,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
West Ham United,Brentford,0,2,0,2,3-4-2-1,3-5-2,",Lukasz Fabianski,Craig Dawson,Angelo Ogbonna,Aaron Cresswell,Vladimir Coufal,Declan Rice,Lucas Paqueta,Emerson,Jarrod Bowen,Said Benrahma,Gianluca Scamacca",",Ivan Toney,Bryan Mbeumo,Rico Henry,Mathias Jensen,Christian Norgaard,Josh Dasilva,Mads Roerslev Rasmussen,Ben Mee,Ethan Pinnock,Zanka,David Raya","Alphonse Areola,Ben Johnson,Thilo Kehrer,Nayef Aguerd,Pablo Fornals,Manuel Lanzini,Flynn Downes,Tomas Soucek,Michail Antonio","Matthew Cox,Pontus Jansson,Yoane Wissa,Vitaly Janelt,Ryan Trevitt,Sergi Canos,Saman Ghoddos,Keane Lewis-Potter,Mikkel Damsgaard",David Moyes,Thomas Frank,Referee: Darren England (England),Dec 30,Venue: London Stadium,5,6,8,2,9,5,8,1,28,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Liverpool,Leicester City,2,1,2,1,4-3-3,4-1-4-1,",Alisson,Trent Alexander-Arnold,Joel Matip,Virgil Van Dijk,Andy Robertson,Harvey Elliott,Jordan Henderson,Thiago,Mohamed Salah,Darwin Nunez,Alex Oxlade-Chamberlain",",Patson Daka,Harvey Barnes,Kiernan Dewsbury-Hall,Wilfred Ndidi,Ayoze Perez,Boubakary Soumare,Luke Thomas,Wout Faes,Daniel Amartey,Timothy Castagne,Danny Ward","Adrian,Joe Gomez,Ibrahima Konate,Kostas Tsimikas,Stefan Bajcetic,Naby Keita,Fabio Carvalho,Bobby Clark,Ben Doak","Daniel Iversen,Caglar Soyuncu,Jannik Vestergaard,Youri Tielemans,Marc Albrighton,Nampalys Mendy,Lewis Brunt,Jamie Vardy,Kelechi Iheanacho",Jurgen Klopp,Brendan Rodgers,Referee: Craig Pawson (England),Dec 30,Venue: Anfield,5,2,8,3,8,15,4,5,18,14,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
